nid,最後修改時間,建議物種,物種學名,物種中文名,原始座標誤差(m),敏感資料座標精確度,緯度,經度,行政區,觀測時間,觀測方式,棲地類型,鑑定狀態,數量,類群,授權,外部識別碼,敏感資料標示,所屬資料集,資料集網址,資料集姓名標示,資料檢核註記,性別,生長階段,生殖狀態,行為
15717,"2017-11-11 15:35","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,24.4,121.07,苗栗縣泰安鄉,1997-11-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337894,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,0,0,,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337895,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,23.83,120.8,南投縣集集鎮,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337896,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,0,0,,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337897,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,23.83,120.8,南投縣集集鎮,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337898,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,0,0,,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337899,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,0,0,,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337900,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,23.83,120.8,南投縣集集鎮,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337901,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,0,0,,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337902,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,23.83,120.8,南投縣集集鎮,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337903,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,23.83,120.8,南投縣集集鎮,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337904,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,24.5,120.84,苗栗縣公館鄉,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
337905,"2017-11-12 10:51","Prionailurus bengalensis 石虎;華南豹貓;豹貓;山貓;金錢貓","Prionailurus bengalensis",石虎,,0.01,23.83,120.8,南投縣集集鎮,2010-07-01,Occurrence,,已鑑定,1,哺乳類,,,Y,舊動物資料庫,https://www.tbn.org.tw/node/800000,,,,,,
